唱法/表演方式,总字数,字数占比
白,35621,0.6428739013517659
唱,2838,0.05121911602808208
念,1719,0.031023840892273818
西皮摇板,1638,0.02956198451515097
西皮原板,1478,0.026674366980093487
西皮快板,1310,0.02364236856828313
吹腔,1249,0.022541464383042466
同白,1105,0.019942608601490733
西皮二六板,914,0.016495515169015863
西皮散板,845,0.015250230107022325
西皮流水板,802,0.014474182894475626
引子,408,0.007363424714396578
吹腔慢板,342,0.006172282481185367
沽美酒,286,0.005161616343915249
新水令,262,0.004728473713656626
西皮快二六板,224,0.004042664549080474
雁儿落带得胜令,202,0.0036456171380100707
二黄原板,200,0.003609521918821852
胡十八,187,0.0033749029940984315
煞尾,161,0.002905665144651591
驻马听,155,0.0027973794870869355
尾声,140,0.0025266653431752963
四块玉,136,0.0024544749047988594
粉蝶儿,135,0.00243642729520475
内西皮导板,132,0.0023822844664224225
西皮导板,127,0.002292046418451876
内白,118,0.0021296179321048927
西皮慢二六板,118,0.0021296179321048927
庆东原,116,0.002093522712916674
西皮慢板,110,0.0019852370553520185
喜迁莺,93,0.001678427692252161
三笑,93,0.001678427692252161
同念,83,0.0014979515963110686
集贤宾,77,0.001389665938746413
高拨子原板,76,0.0013716183291523037
石榴花,75,0.0013535707195581946
水仙子,74,0.0013355231099640853
刮地风,74,0.0013355231099640853
高拨子碰板,70,0.0012633326715876482
西皮垛板,66,0.0011911422332112113
揽筝琶,65,0.001173094623617102
高拨子散板,63,0.0011369994044288835
慢西皮二六板,62,0.0011189517948347741
高拨子慢板,58,0.001046761356458337
么篇,57,0.001028713746864228
同唱,57,0.001028713746864228
梧叶儿,57,0.001028713746864228
醉花阴,56,0.0010106661372701186
同笑,53,0.0009565233084877908
上字调新水令,52,0.0009384756988936816
柳叶儿,51,0.0009204280892995722
沉醉东风,50,0.000902380479705463
尧民歌,49,0.0008843328701113538
西皮慢原板,49,0.0008843328701113538
西皮紧板,47,0.0008482376509231352
斗鹌鹁,47,0.0008482376509231352
脱布衫接叨叨令,46,0.000830190041329026
十二月,45,0.0008121424317349167
小上楼,45,0.0008121424317349167
叨叨令,39,0.0007038567741702612
扑灯蛾,31,0.0005594758974173871
锁呐二黄慢板,30,0.0005414282878232778
大引子,28,0.0005053330686350593
二黄摇板,28,0.0005053330686350593
诗,28,0.0005053330686350593
上小楼,26,0.0004692378494468408
高拨子导板,25,0.0004511902398527315
上下楼,25,0.0004511902398527315
二黄散板,24,0.0004331426302586222
回龙,24,0.0004331426302586222
梅花板,22,0.0003970474110704037
内同白,22,0.0003970474110704037
二黄导板,20,0.0003609521918821852
西皮过板,20,0.0003609521918821852
笑,18,0.0003248569726939667
高拨子回龙,17,0.00030680936309985743
斗鹌鹑,16,0.00028876175350574815
风入松,14,0.00025266653431752964
高拨子摇板,10,0.0001804760959410926
内二黄导板,10,0.0001804760959410926
叫头,9,0.00016242848634698335
同三笑,8,0.00014438087675287407
内高拨子导板,7,0.00012633326715876482
哭,7,0.00012633326715876482
内唱,7,0.00012633326715876482
同尾声,7,0.00012633326715876482
同西皮散板,7,0.00012633326715876482
同梅花板,6,0.00010828565756465556
内,4,7.219043837643704e-05
慢叫头,2,3.609521918821852e-05
